Year,State,Total Revenue,Revenue from federal sources,Revenue from state sources,Revenue from local sources,Total expenditures,Current spending,Capital outlay,Other expenditures,Outstanding Debt,Cash and securities
2016,Alabama,7497291.0,797631.0,4097696.0,2601964.0,7698841.0,6907539.0,610743.0,180559.0,5810828.0,2295759.0
2016,Alaska,2494680.0,307320.0,1613675.0,573685.0,2623014.0,2327151.0,255041.0,40822.0,1372527.0,
2016,Arizona,8430089.0,1160908.0,3440726.0,3828455.0,7984562.0,7276067.0,528694.0,179801.0,5041714.0,2574408.0
2016,Arkansas,5384115.0,593656.0,4122377.0,668082.0,5407470.0,4750938.0,518181.0,138351.0,4263573.0,1709251.0
2016,California,86557167.0,7709079.0,50904567.0,27943521.0,82153002.0,72641244.0,6786142.0,2725616.0,63166228.0,42281483.0
2016,Colorado,10063463.0,713914.0,4365019.0,4984530.0,9831883.0,8519780.0,880204.0,431899.0,7158935.0,4578810.0
2016,Connecticut,11170433.0,468595.0,4411204.0,6290634.0,10529735.0,9798789.0,620905.0,110041.0,2481867.0,134484.0
2016,Delaware,2000430.0,134412.0,1172219.0,693799.0,1970124.0,1845143.0,104579.0,20402.0,625544.0,51970.0
2016,District of Columbia,1329719.0,154922.0,,1174797.0,1322563.0,1007280.0,315283.0,0.0,0.0,
2016,Florida,28119997.0,3147329.0,10963807.0,14008861.0,27945116.0,25339845.0,1983363.0,621908.0,14654281.0,8605457.0
2016,Georgia,19399889.0,1807371.0,8771192.0,8821326.0,19147669.0,17118329.0,1834767.0,194573.0,4541784.0,6417716.0
2016,Hawaii,3030519.0,261131.0,2710361.0,59027.0,2733094.0,2516444.0,216650.0,0.0,0.0,
2016,Idaho,2265813.0,240322.0,1454830.0,570661.0,2100980.0,1971800.0,74932.0,54248.0,1360766.0,806066.0
2016,Illinois,32167833.0,2331724.0,12053316.0,17782793.0,32148981.0,29223830.0,2015647.0,909504.0,20860542.0,15520587.0
2016,Indiana,12510738.0,954837.0,7780711.0,3775190.0,11314646.0,9959771.0,986746.0,368129.0,10323830.0,4319994.0
2016,Iowa,6644950.0,464852.0,3583134.0,2596964.0,6710694.0,5694316.0,889597.0,126781.0,3771141.0,3101861.0
2016,Kansas,6067808.0,453922.0,3949517.0,1664369.0,6129735.0,4941714.0,964098.0,223923.0,5569091.0,2706640.0
2016,Kentucky,7744812.0,880296.0,4269100.0,2595416.0,7784548.0,6834081.0,736079.0,214388.0,5865334.0,2005733.0
2016,Louisiana,8386531.0,1021465.0,3480353.0,3884713.0,7985236.0,7305990.0,577609.0,101637.0,4135958.0,3543256.0
2016,Maine,2768776.0,185803.0,1074641.0,1508332.0,2631161.0,2491632.0,95951.0,43578.0,905703.0,295786.0
2016,Maryland,14405532.0,823599.0,6334951.0,7246982.0,13748028.0,12516025.0,1055665.0,176338.0,4430271.0,
2016,Massachusetts,17339360.0,765043.0,6770086.0,9804231.0,16620373.0,15466496.0,945525.0,208352.0,5338715.0,285374.0
2016,Michigan,18456737.0,1552824.0,10727785.0,6176128.0,17731509.0,15860412.0,1062838.0,808259.0,18153482.0,9255814.0
2016,Minnesota,12036272.0,634332.0,7887346.0,3514594.0,12679786.0,10520027.0,1743709.0,416050.0,13436512.0,6572659.0
2016,Mississippi,4743998.0,690724.0,2411621.0,1641653.0,4631356.0,4246156.0,335067.0,50133.0,1625491.0,1724760.0
2016,Missouri,10806710.0,924655.0,4568867.0,5313188.0,10615933.0,9417531.0,890008.0,308394.0,7144070.0,4919439.0
2016,Montana,1778177.0,220340.0,840804.0,717033.0,1858780.0,1657624.0,179414.0,21742.0,831606.0,968795.0
2016,Nebraska,4319834.0,346826.0,1437048.0,2535960.0,4619793.0,3882657.0,641968.0,95168.0,2759751.0,2072098.0
2016,Nevada,4481097.0,401323.0,2816911.0,1262863.0,4368152.0,3978436.0,224494.0,165222.0,3744222.0,1198393.0
2016,New Hampshire,3050303.0,169166.0,1004753.0,1876384.0,2958069.0,2778905.0,137180.0,41984.0,888344.0,257190.0
2016,New Jersey,28911653.0,1187430.0,11681799.0,16042424.0,28488858.0,26756822.0,1414861.0,317175.0,7014423.0,4218645.0
2016,New Mexico,3765069.0,506995.0,2591444.0,666630.0,3723997.0,3102120.0,551143.0,70734.0,2170660.0,1504660.0
2016,New York,66664079.0,3369803.0,27437593.0,35856683.0,67977836.0,61447337.0,4656189.0,1874310.0,29762691.0,10793743.0
2016,North Carolina,13448045.0,1557900.0,8287126.0,3603019.0,14141312.0,12917195.0,912783.0,311334.0,7507374.0,
2016,North Dakota,1749290.0,155453.0,985365.0,608472.0,1904151.0,1460308.0,412047.0,31796.0,734364.0,627008.0
2016,Ohio,22886040.0,1680983.0,9277802.0,11927255.0,23201744.0,20561122.0,1854842.0,785780.0,12519984.0,11056739.0
