Year,Location,Population 1 year and over,,Percent_Change,,Same house 1 year ago,,Same state of residence 1 year ago,,Different state of residence 1 year ago,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Different state of residence 1 year ago (continued),,,,,,,,,,Current residence in --,Abroad 1 year ago--,,,,,,,
2011,United States,"307,900,319","302,423,391",55.22,"+/- 29,996","261,087,925","+/- 263,315","37,998,701","+/- 233,440","6,987,416","+/- 77,858","106,806","+/- 10,575",United States1,"88,850","+/- 10,161","211,816","+/- 17,644","77,226","+/- 6,899","562,343","+/- 20,646","160,623","+/- 10,427",United States1,"91,295","+/- 7,653","26,631","+/- 3,629","49,732","+/- 4,949","437,202","+/- 19,015","248,892","+/- 13,318",United States1,"61,940","+/- 7,295","57,831","+/- 7,401","269,008","+/- 13,750","143,228","+/- 10,568","74,516","+/- 6,398",United States1,"94,180","+/- 10,699","99,256","+/- 7,329","86,593","+/- 8,952","33,729","+/- 4,154","165,041","+/- 11,278",United States1,"145,869","+/- 10,414","186,505","+/- 13,304","103,253","+/- 6,978","68,597","+/- 7,559","138,404","+/- 11,145",United States1,"31,204","+/- 4,179","52,809","+/- 6,362","115,943","+/- 8,686","43,277","+/- 4,875","216,369","+/- 12,474",United States1,"61,431","+/- 5,579","377,800","+/- 15,333","225,147","+/- 14,191","26,563","+/- 3,090","206,049","+/- 11,406",United States1,"81,009","+/- 8,616","109,795","+/- 8,590","215,127","+/- 11,482","31,065","+/- 4,192","121,426","+/- 9,952",United States1,"29,383","+/- 4,358","154,243","+/- 9,679","404,839","+/- 17,998","73,211","+/- 7,130","18,172","+/- 2,845",United States1,"229,227","+/- 11,582","190,644","+/- 11,567","45,956","+/- 5,684","105,370","+/- 8,011","31,991","+/- 4,631",United States1,"1,826,277","+/- 39,657","76,218","+/- 8,799","13,131","+/- 3,168","1,736,928","+/- 37,914"
2011,Arizona,"6,402,301","-799,818",-0.11,"+/- 5,660","5,107,496","+/- 39,045","1,028,366","+/- 36,556","222,877","+/- 14,358",833,+/- 587,Arizona,"5,001","+/- 2,214",N/A,N/A,"1,066",+/- 740,"49,635","+/- 8,755","10,189","+/- 2,958",Arizona,"1,875","+/- 1,213",0,+/- 229,389,+/- 389,"3,732","+/- 1,842","2,206","+/- 1,147",Arizona,"2,199","+/- 1,109","2,190","+/- 1,183","10,035","+/- 4,129","5,855","+/- 1,956","4,526","+/- 1,745",Arizona,"1,708",+/- 883,"2,134","+/- 1,257",844,+/- 867,0,+/- 229,"1,918","+/- 1,096",Arizona,743,+/- 430,"9,396","+/- 5,283","3,297","+/- 1,064","1,226","+/- 1,492","3,872","+/- 1,689",Arizona,"2,431","+/- 1,191","1,393",+/- 798,"8,756","+/- 3,417",228,+/- 229,"3,379","+/- 1,757",Arizona,"4,610","+/- 1,448","3,880","+/- 1,363","2,548","+/- 1,269","1,159",+/- 891,"4,682","+/- 2,116",Arizona,"3,219","+/- 1,761","4,613","+/- 1,465","3,436","+/- 1,476",72,+/- 131,"1,774","+/- 1,932",Arizona,"1,657","+/- 1,589","1,680",+/- 647,"12,688","+/- 2,976","10,577","+/- 3,336",0,+/- 229,Arizona,"2,233","+/- 1,094","13,940","+/- 5,479",70,+/- 118,"6,473","+/- 2,066","2,510","+/- 1,288",Arizona,"43,562","+/- 6,373",871,+/- 639,122,+/- 135,"42,569","+/- 6,259"
2011,Colorado,"5,048,443","-15,353,132",-0.75,"+/- 4,037","4,048,042","+/- 22,888","763,233","+/- 18,937","202,124","+/- 11,431","2,340","+/- 1,681",Colorado,"3,191","+/- 1,622","12,338","+/- 3,704","1,615","+/- 1,191","23,234","+/- 3,742",N/A,N/A,Colorado,"1,567",+/- 838,501,+/- 556,298,+/- 301,"8,075","+/- 2,090","3,250","+/- 1,254",Colorado,"1,852",+/- 832,"1,578",+/- 766,"6,027","+/- 1,536","2,116","+/- 1,289","3,510","+/- 1,495",Colorado,"3,718","+/- 1,495","1,361","+/- 1,028",908,+/- 550,"1,358","+/- 1,235","3,303","+/- 1,416",Colorado,"2,157","+/- 1,085","3,225","+/- 1,061","3,055","+/- 1,092",879,+/- 621,"4,552","+/- 1,382",Colorado,"4,079","+/- 1,579","4,582","+/- 1,961","4,061","+/- 1,432",489,+/- 396,"2,863","+/- 1,788",Colorado,"8,797","+/- 2,308","3,998","+/- 1,621","4,756","+/- 1,686","2,249","+/- 1,245","5,527","+/- 2,388",Colorado,"3,824","+/- 2,137","5,543","+/- 2,105","3,348","+/- 1,302",435,+/- 560,718,+/- 480,Colorado,"1,340","+/- 1,037","3,193","+/- 1,472","22,390","+/- 4,287","3,856","+/- 1,446",914,+/- 772,Colorado,"6,281","+/- 2,671","5,524","+/- 2,092",412,+/- 490,"3,995","+/- 1,774","2,942",+/- 923,Colorado,"35,044","+/- 5,809",476,+/- 556,57,+/- 79,"34,511","+/- 5,839"
2011,Florida,"18,863,948","12,012,112",1.75,"+/- 8,536","15,742,168","+/- 59,355","2,454,255","+/- 53,419","498,597","+/- 22,483","12,635","+/- 3,566",Florida,"7,405","+/- 3,412","8,451","+/- 3,258","3,025","+/- 1,241","22,420","+/- 4,065","9,383","+/- 2,988",Florida,"11,704","+/- 3,121","1,264",+/- 949,891,+/- 495,N/A,N/A,"38,658","+/- 6,270",Florida,"3,639","+/- 2,081",312,+/- 268,"19,152","+/- 3,962","11,472","+/- 3,254","1,846","+/- 1,137",Florida,"2,661","+/- 1,410","5,441","+/- 1,674","6,094","+/- 2,316","4,689","+/- 2,049","15,410","+/- 3,515",Florida,"13,701","+/- 3,380","19,640","+/- 3,920","4,663","+/- 1,888","5,175","+/- 1,968","7,114","+/- 2,753",Florida,559,+/- 424,"3,857","+/- 2,208","3,527","+/- 1,810","4,324","+/- 1,798","25,206","+/- 6,219",Florida,"1,376",+/- 781,"59,288","+/- 7,171","23,983","+/- 5,251",514,+/- 600,"18,191","+/- 3,264",Florida,"2,600","+/- 1,168","3,315","+/- 2,046","20,821","+/- 4,267","5,002","+/- 2,668","11,953","+/- 2,956",Florida,716,"+/- 1,027","10,451","+/- 4,102","25,532","+/- 4,638","2,343","+/- 1,891","2,019","+/- 1,616",Florida,"16,614","+/- 3,087","6,339","+/- 2,687","4,964","+/- 2,202","7,412","+/- 2,467",846,+/- 725,Florida,"168,928","+/- 14,572","21,611","+/- 5,621","2,643","+/- 1,361","144,674","+/- 12,266"
2011,Washington,"6,748,474","6,748,474",#DIV/0!,"+/- 4,248","5,565,069","+/- 27,197","919,925","+/- 27,221","208,507","+/- 13,639","1,821","+/- 1,049",Washington,"5,266","+/- 2,233","12,397","+/- 3,133",756,+/- 565,"38,421","+/- 4,474","3,938","+/- 1,215",Washington,"1,026",+/- 533,0,+/- 201,358,+/- 254,"6,094","+/- 1,777","8,705","+/- 3,348",Washington,"5,940","+/- 2,264","10,895","+/- 4,263","2,062",+/- 821,"2,303","+/- 1,315","1,000",+/- 465,Washington,"2,820","+/- 1,740","1,271",+/- 936,"1,016","+/- 1,018","1,313","+/- 1,689","1,899",+/- 808,Washington,"1,580",+/- 757,"3,720","+/- 1,212","1,543",+/- 898,"1,110",+/- 762,"3,307","+/- 2,181",Washington,"2,125",+/- 934,673,+/- 441,"4,925","+/- 1,696",824,+/- 605,"2,006",+/- 987,Washington,"1,569","+/- 1,254","4,512","+/- 1,322","3,870","+/- 1,452",189,+/- 304,"2,686","+/- 1,217",Washington,765,+/- 573,"29,168","+/- 5,436","2,296","+/- 1,378",463,+/- 319,"1,519","+/- 1,267",Washington,227,+/- 225,"2,342","+/- 1,116","15,491","+/- 4,361","4,789","+/- 1,640",119,+/- 196,Washington,"4,233","+/- 1,698",N/A,N/A,157,+/- 186,"1,491",+/- 892,"1,507",+/- 870,Washington,"54,973","+/- 5,730","1,083","+/- 1,061",362,+/- 321,"53,528","+/- 5,625"
2012,United States,"310,212,755","2,312,436",0.01,"+/- 25,814","263,612,596","+/- 229,733","37,696,597","+/- 211,307","7,070,345","+/- 58,599","109,210","+/- 9,027",United States1,"84,068","+/- 7,600","206,842","+/- 12,859","64,967","+/- 6,563","566,986","+/- 19,755","161,530","+/- 10,348",United States1,"87,023","+/- 5,968","25,149","+/- 3,775","59,513","+/- 6,154","428,325","+/- 18,406","252,262","+/- 12,868",United States1,"61,509","+/- 6,100","55,191","+/- 6,257","277,953","+/- 12,722","144,597","+/- 8,929","73,325","+/- 6,129",United States1,"93,134","+/- 7,286","103,004","+/- 7,490","95,956","+/- 7,745","38,574","+/- 5,351","157,664","+/- 9,686",United States1,"158,156","+/- 10,755","175,733","+/- 9,302","115,946","+/- 8,402","66,947","+/- 7,206","142,754","+/- 9,402",United States1,"33,832","+/- 4,879","48,816","+/- 4,967","98,882","+/- 9,332","38,696","+/- 3,364","219,202","+/- 11,087",United States1,"63,921","+/- 5,867","405,864","+/- 15,692","238,663","+/- 13,414","23,959","+/- 3,373","199,202","+/- 10,288",United States1,"102,572","+/- 9,213","108,182","+/- 7,867","237,156","+/- 10,246","30,498","+/- 3,414","127,418","+/- 8,502",United States1,"22,534","+/- 2,998","163,843","+/- 8,717","402,187","+/- 15,471","82,165","+/- 8,304","20,056","+/- 2,967",United States1,"238,540","+/- 11,611","180,462","+/- 9,674","47,425","+/- 5,262","97,724","+/- 5,859","32,228","+/- 5,150",United States1,"1,833,217","+/- 32,633","74,500","+/- 8,156","15,876","+/- 3,083","1,742,841","+/- 31,206"
2012,Arizona,"6,468,907","66,606",0.01,"+/- 3,874","5,242,674","+/- 32,185","953,789","+/- 28,803","232,457","+/- 14,183","1,331","+/- 1,286",Arizona,"3,717","+/- 1,505",N/A,N/A,"1,214",+/- 659,"44,889","+/- 5,435","13,790","+/- 6,133",Arizona,417,+/- 309,246,+/- 215,36,+/- 60,"5,553","+/- 2,160","2,263",+/- 961,Arizona,"2,491","+/- 1,285","2,934","+/- 1,362","10,744","+/- 2,614","2,930","+/- 1,447","2,702","+/- 1,000",Arizona,"2,498",+/- 852,"1,328",+/- 997,724,+/- 442,616,+/- 593,"3,007","+/- 1,288",Arizona,"1,961","+/- 1,083","9,598","+/- 3,471","8,570","+/- 3,050",293,+/- 215,"2,595","+/- 1,099",Arizona,"1,118",+/- 536,"2,293","+/- 1,037","6,712","+/- 2,202",510,+/- 443,"2,564","+/- 1,085",Arizona,"6,946","+/- 1,907","7,402","+/- 2,615","2,721",+/- 939,877,+/- 444,"7,906","+/- 2,239",Arizona,"1,626",+/- 838,"8,587","+/- 3,200","4,280","+/- 1,395",614,+/- 687,"1,070",+/- 573,Arizona,"1,472",+/- 776,"5,075","+/- 1,919","14,788","+/- 3,541","5,916","+/- 1,789",207,+/- 291,Arizona,"2,763","+/- 1,031","13,247","+/- 2,448",765,+/- 734,"3,765","+/- 1,168","2,786","+/- 1,401",Arizona,"39,987","+/- 4,295","1,791","+/- 1,662",447,+/- 401,"37,749","+/- 4,037"
2012,Colorado,"5,123,944","75,501",0.02,"+/- 2,939","4,131,357","+/- 21,752","751,921","+/- 19,587","205,060","+/- 11,855","3,108","+/- 1,610",Colorado,"3,457","+/- 1,695","10,589","+/- 2,218","1,043",+/- 580,"22,152","+/- 4,260",N/A,N/A,Colorado,"1,317",+/- 677,70,+/- 133,488,+/- 387,"8,615","+/- 1,907","5,834","+/- 2,086",Colorado,"2,536","+/- 1,020","2,660","+/- 1,468","6,374","+/- 1,617","4,336","+/- 2,128","2,776","+/- 1,486",Colorado,"5,283","+/- 1,843","2,500","+/- 2,135","5,048","+/- 2,468",20,+/- 40,"2,844","+/- 1,196",Colorado,"5,939","+/- 2,238","3,343","+/- 1,293","2,992",+/- 909,835,+/- 522,"3,771","+/- 1,262",Colorado,"2,021",+/- 923,"4,472","+/- 1,729","3,789","+/- 1,433",679,+/- 308,"2,464","+/- 1,179",Colorado,"6,520","+/- 1,851","7,250","+/- 2,604","4,378","+/- 1,678","1,918","+/- 1,071","4,533","+/- 2,214",Colorado,"4,582","+/- 2,102","2,419",+/- 836,"3,950","+/- 1,530",137,+/- 153,"2,383","+/- 1,479",Colorado,756,+/- 553,"2,535","+/- 1,135","17,355","+/- 3,352","6,398","+/- 2,035",503,+/- 371,Colorado,"3,796","+/- 1,568","4,853","+/- 1,401",837,+/- 429,"3,000","+/- 1,006","5,602","+/- 2,808",Colorado,"35,606","+/- 4,299","1,144",+/- 903,387,+/- 327,"34,075","+/- 4,250"
2012,Florida,"19,114,620","250,672",0.01,"+/- 6,877","16,032,617","+/- 49,245","2,380,288","+/- 44,658","537,148","+/- 19,784","18,599","+/- 4,762",Florida,"10,704","+/- 4,327","6,473","+/- 1,865","3,321","+/- 1,136","20,386","+/- 4,221","8,766","+/- 2,537",Florida,"8,975","+/- 1,882","1,099",+/- 608,780,+/- 481,N/A,N/A,"42,754","+/- 6,205",Florida,"3,177","+/- 2,730","1,268",+/- 923,"22,565","+/- 3,828","13,803","+/- 2,852","3,864","+/- 1,332",Florida,"5,661","+/- 3,133","6,912","+/- 1,607","5,550","+/- 2,266","7,348","+/- 3,032","10,442","+/- 2,378",Florida,"15,159","+/- 2,747","23,400","+/- 3,519","5,460","+/- 2,185","5,490","+/- 3,345","10,666","+/- 3,498",Florida,"1,758","+/- 2,104",945,+/- 713,"1,241",+/- 515,"2,362",+/- 922,"27,606","+/- 4,242",Florida,"2,853","+/- 1,004","53,009","+/- 5,886","23,133","+/- 3,843",239,+/- 203,"22,927","+/- 4,305",Florida,"3,142","+/- 1,301","2,919","+/- 1,736","25,659","+/- 4,174","3,050","+/- 1,458","11,366","+/- 2,719",Florida,"1,070",+/- 762,"16,275","+/- 3,583","28,564","+/- 4,750","2,499","+/- 1,348","2,747","+/- 1,190",Florida,"25,697","+/- 3,965","4,943","+/- 1,710","3,533","+/- 1,587","6,216","+/- 1,993",773,+/- 567,Florida,"164,567","+/- 10,910","21,638","+/- 4,641","2,328","+/- 1,213","140,601","+/- 9,386"
2012,Washington,"6,815,763","67,289",0.01,"+/- 3,864","5,648,199","+/- 25,225","904,695","+/- 24,285","215,494","+/- 12,552","1,507",+/- 730,Washington,"4,328","+/- 1,682","8,362","+/- 2,641","1,413","+/- 1,121","45,597","+/- 5,884","5,195","+/- 2,150",Washington,"2,901","+/- 1,138",100,+/- 164,773,+/- 528,"9,370","+/- 2,417","6,363","+/- 2,288",Washington,"5,239","+/- 2,393","10,604","+/- 2,191","4,298","+/- 1,727","1,089",+/- 521,"1,159",+/- 845,Washington,"2,544","+/- 1,029","1,368",+/- 911,"1,646",+/- 915,532,+/- 655,"1,191",+/- 923,Washington,"2,911","+/- 1,011","3,470","+/- 1,605","2,703","+/- 1,971",615,+/- 444,"2,802","+/- 1,017",Washington,"2,919","+/- 1,013",682,+/- 456,"5,671","+/- 2,919",309,+/- 248,"2,300","+/- 1,441",Washington,872,+/- 527,"5,562","+/- 1,947","4,088","+/- 1,854",217,+/- 200,"3,192","+/- 1,400",Washington,"1,223",+/- 768,"25,525","+/- 4,052","3,397","+/- 1,799",97,+/- 162,"2,727","+/- 1,542",Washington,94,+/- 155,"3,206","+/- 1,819","14,196","+/- 3,417","5,298","+/- 1,995",223,+/- 216,Washington,"3,839","+/- 1,320",N/A,N/A,215,+/- 271,"1,168",+/- 638,394,+/- 495,Washington,"47,375","+/- 5,674","1,025",+/- 878,"1,044",+/- 528,"45,306","+/- 5,353"
