agency_id,incident_id,nibrs_month_id,incident_number,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,ddocname,orig_format,ff_line_number,did
895,86043961,7263767,160127009,,11/6/2017 0:00,1/27/2016 0:00,,13,6,,0,C,2016_01_AZ0111300_160127009_INC,F,,8003441
895,86044539,7263767,160127011,,11/6/2017 0:00,1/27/2016 0:00,,18,6,,0,C,2016_01_AZ0111300_160127011_INC,F,,8003454
895,87909921,7263767,160118002,,11/6/2017 0:00,1/18/2016 0:00,,5,6,,0,C,2016_01_AZ0111300_160118002_INC,F,,11569908
895,83886284,7263767,160101009,,11/6/2017 0:00,1/1/2016 0:00,,9,6,,0,C,2016_01_AZ0111300_160101009_INC,F,,3484378
895,83886562,7263767,160102006,,11/6/2017 0:00,1/2/2016 0:00,,17,6,,0,C,2016_01_AZ0111300_160102006_INC,F,,3483492
895,83886292,7263767,160104007,,11/6/2017 0:00,1/4/2016 0:00,,14,6,,0,C,2016_01_AZ0111300_160104007_INC,F,,3484391
895,83886294,7263767,160106017,,11/6/2017 0:00,1/6/2016 0:00,,20,6,,0,C,2016_01_AZ0111300_160106017_INC,F,,3484397
895,83886305,7263767,160107001,,11/6/2017 0:00,1/7/2016 0:00,,5,6,,0,C,2016_01_AZ0111300_160107001_INC,F,,3484408
895,83886308,7263767,160108005,,11/6/2017 0:00,1/8/2016 0:00,,10,6,,0,C,2016_01_AZ0111300_160108005_INC,F,,3484411
895,83886310,7263767,160205007,,11/6/2017 0:00,1/8/2016 0:00,,12,6,,0,C,2016_01_AZ0111300_160205007_INC,F,,3484416
895,83886336,7263767,160112014,,11/6/2017 0:00,1/12/2016 0:00,,15,6,,0,C,2016_01_AZ0111300_160112014_INC,F,,3484454
895,83886328,7263767,160110023,,11/6/2017 0:00,1/10/2016 0:00,,22,6,,0,C,2016_01_AZ0111300_160110023_INC,F,,3484443
895,83886339,7263767,160112003,,11/6/2017 0:00,1/12/2016 0:00,,8,6,,0,C,2016_01_AZ0111300_160112003_INC,F,,3484456
895,83886345,7263767,160114005,,11/6/2017 0:00,1/14/2016 0:00,,10,6,,0,C,2016_01_AZ0111300_160114005_INC,F,,3484467
895,83886349,7263767,160114011,,11/6/2017 0:00,1/14/2016 0:00,,18,6,,0,C,2016_01_AZ0111300_160114011_INC,F,,3484473
895,83886570,7263767,160115001,,11/6/2017 0:00,1/15/2016 0:00,,1,6,,0,C,2016_01_AZ0111300_160115001_INC,F,,3484478
895,83886357,7263767,160117007,,11/6/2017 0:00,1/17/2016 0:00,,12,6,,0,C,2016_01_AZ0111300_160117007_INC,F,,3484488
895,83886573,7263767,160118005,,11/6/2017 0:00,1/17/2016 0:00,,22,6,,0,C,2016_01_AZ0111300_160118005_INC,F,,3483513
895,83886375,7263767,160121001,,11/6/2017 0:00,1/20/2016 0:00,,23,6,,0,C,2016_01_AZ0111300_160121001_INC,F,,3483523
895,83886380,7263767,160121018,,11/6/2017 0:00,1/21/2016 0:00,,11,6,,0,C,2016_01_AZ0111300_160121018_INC,F,,3484534
895,83886386,7263767,160123004,,11/6/2017 0:00,1/23/2016 0:00,,2,6,,0,C,2016_01_AZ0111300_160123004_INC,F,,3483527
895,83886388,7263767,160123009,,11/6/2017 0:00,1/23/2016 0:00,,3,6,,0,C,2016_01_AZ0111300_160123009_INC,F,,3484547
895,83886393,7263767,160125008,,11/6/2017 0:00,1/25/2016 0:00,,11,6,,0,C,2016_01_AZ0111300_160125008_INC,F,,3484556
895,83886401,7263767,160127007,,11/6/2017 0:00,1/27/2016 0:00,,10,6,,0,C,2016_01_AZ0111300_160127007_INC,F,,3484569
895,83886416,7263767,160130003,,11/6/2017 0:00,1/30/2016 0:00,,1,6,,0,C,2016_01_AZ0111300_160130003_INC,F,,3484591
895,83886282,7263767,160101013,,11/6/2017 0:00,1/1/2016 0:00,,21,6,,0,C,2016_01_AZ0111300_160101013_INC,F,,3484380
895,83886296,7263767,160106015,,11/6/2017 0:00,1/6/2016 0:00,,18,6,,0,C,2016_01_AZ0111300_160106015_INC,F,,3484396
895,83886320,7263767,160110010,,11/6/2017 0:00,1/10/2016 0:00,,4,6,,0,C,2016_01_AZ0111300_160110010_INC,F,,3484430
895,83886331,7263767,160111011,,11/6/2017 0:00,1/11/2016 0:00,,19,6,,0,C,2016_01_AZ0111300_160111011_INC,F,,3484448
895,83886337,7263767,160112015,,11/6/2017 0:00,1/12/2016 0:00,,16,6,,0,C,2016_01_AZ0111300_160112015_INC,F,,3484455
895,83886341,7263767,160116004,,11/6/2017 0:00,1/12/2016 0:00,,13,6,,0,C,2016_01_AZ0111300_160116004_INC,F,,3484460
895,83886354,7263767,160116008,,11/6/2017 0:00,1/16/2016 0:00,,20,6,,0,C,2016_01_AZ0111300_160116008_INC,F,,3484483
